date,sunspot_ms
1882-07, 100.5
1882-08, 100.0
1882-09,  96.7
1882-10,  94.1
1882-11,  90.9
1882-12,  90.8
1883-01,  95.4
1883-02,  98.2
1883-03,  98.2
1883-04,  99.6
1883-05, 101.3
1883-06, 103.7
1883-07, 108.2
1883-08, 113.1
1883-09, 119.0
1883-10, 121.7
1883-11, 123.7
1883-12, 124.4
1884-01, 120.8
1884-02, 119.5
1884-03, 120.9
1884-04, 119.0
1884-05, 113.2
1884-06, 107.8
1884-07, 102.5
1884-08,  98.0
1884-09,  94.4
1884-10,  90.3
1884-11,  89.3
1884-12,  92.0
1885-01,  95.1
1885-02,  95.7
1885-03,  93.7
1885-04,  91.6
1885-05,  90.5
1885-06,  88.4
1885-07,  85.7
1885-08,  81.6
1885-09,  79.0
1885-10,  78.7
1885-11,  75.0
1885-12,  68.2
1886-01,  61.7
1886-02,  56.9
1886-03,  53.3
1886-04,  50.0
1886-05,  45.7
1886-06,  43.0
1886-07,  41.0
1886-08,  38.8
1886-09,  34.2
1886-10,  28.0
1886-11,  24.7
1886-12,  23.1
1887-01,  21.9
1887-02,  21.7
1887-03,  21.0
1887-04,  19.9
1887-05,  20.2
1887-06,  21.2
1887-07,  21.9
1887-08,  21.7
1887-09,  21.5
1887-10,  21.6
1887-11,  20.6
1887-12,  19.1
1888-01,  17.1
1888-02,  14.4
1888-03,  13.2
1888-04,  13.0
1888-05,  12.9
1888-06,  12.2
1888-07,  10.4
1888-08,   9.7
1888-09,   9.7
1888-10,   9.5
1888-11,   9.2
1888-12,   8.8
1889-01,   9.2
1889-02,  10.9
1889-03,  12.0
1889-04,  11.8
1889-05,  11.1
1889-06,  10.4
1889-07,  10.7
1889-08,  10.5
1889-09,   9.8
1889-10,   9.5
1889-11,   9.5
1889-12,   9.3
1890-01,   9.1
1890-02,   8.4
1890-03,   8.3
1890-04,   9.7
1890-05,  10.9
1890-06,  11.7
1890-07,  12.3
1890-08,  14.4
1890-09,  16.2
1890-10,  17.9
1890-11,  21.7
1890-12,  27.5
1891-01,  34.1
1891-02,  39.0
1891-03,  43.3
1891-04,  48.7
1891-05,  53.7
1891-06,  57.7
1891-07,  63.2
1891-08,  70.8
1891-09,  77.3
1891-10,  83.5
1891-11,  89.5
1891-12,  94.2
1892-01,  97.4
1892-02, 103.3
1892-03, 108.7
1892-04, 110.6
1892-05, 113.6
1892-06, 118.4
1892-07, 122.0
1892-08, 122.2
1892-09, 123.1
1892-10, 125.5
1892-11, 127.2
1892-12, 128.5
1893-01, 130.2
1893-02, 133.0
1893-03, 136.0
1893-04, 137.7
1893-05, 139.0
1893-06, 140.8
1893-07, 142.4
1893-08, 143.8
1893-09, 143.6
1893-10, 142.3
1893-11, 142.9
1893-12, 144.7
1894-01, 146.5
1894-02, 143.7
1894-03, 138.7
1894-04, 137.6
1894-05, 136.0
1894-06, 132.4
1894-07, 128.6
1894-08, 126.0
1894-09, 125.4
1894-10, 125.7
1894-11, 123.0
1894-12, 118.8
1895-01, 112.8
1895-02, 108.7
1895-03, 108.0
1895-04, 106.9
1895-05, 105.8
1895-06, 105.9
1895-07, 104.2
1895-08, 101.2
1895-09,  99.9
1895-10,  96.9
1895-11,  91.9
1895-12,  87.5
1896-01,  85.8
1896-02,  82.7
1896-03,  80.1
1896-04,  77.6
1896-05,  74.2
1896-06,  71.7
1896-07,  70.5
1896-08,  69.4
1896-09,  65.8
1896-10,  63.4
1896-11,  62.0
1896-12,  58.8
1897-01,  55.0
1897-02,  53.4
1897-03,  52.1
1897-04,  50.2
1897-05,  47.1
1897-06,  44.4
1897-07,  43.1
1897-08,  42.8
1897-09,  44.0
1897-10,  43.5
1897-11,  42.7
1897-12,  43.9
1898-01,  43.3
1898-02,  42.7
1898-03,  42.4
1898-04,  42.9
1898-05,  45.8
1898-06,  46.0
1898-07,  43.8
1898-08,  41.2
1898-09,  37.9
1898-10,  36.4
1898-11,  35.2
1898-12,  33.8
1899-01,  34.0
1899-02,  32.3
1899-03,  28.5
1899-04,  25.2
1899-05,  22.1
1899-06,  20.3
1899-07,  19.5
1899-08,  19.1
1899-09,  18.8
1899-10,  18.2
1899-11,  18.9
1899-12,  18.8
1900-01,  17.9
1900-02,  17.6
1900-03,  17.7
1900-04,  17.7
1900-05,  17.5
1900-06,  16.5
1900-07,  15.2
1900-08,  13.7
1900-09,  12.7
1900-10,  11.3
1900-11,   9.8
1900-12,   9.0
1901-01,   8.1
1901-02,   7.3
1901-03,   6.5
1901-04,   5.4
1901-05,   4.7
1901-06,   4.6
1901-07,   5.0
1901-08,   5.2
1901-09,   5.5
1901-10,   6.1
1901-11,   5.6
1901-12,   4.8
1902-01,   4.5
1902-02,   4.6
1902-03,   5.2
1902-04,   6.5
1902-05,   7.8
1902-06,   8.4
1902-07,   8.6
1902-08,  10.0
1902-09,  11.3
1902-10,  13.1
1902-11,  15.8
1902-12,  17.6
1903-01,  20.5
1903-02,  24.2
1903-03,  26.3
1903-04,  28.1
1903-05,  32.1
1903-06,  37.6
1903-07,  42.3
1903-08,  44.4
1903-09,  46.6
1903-10,  49.4
1903-11,  52.3
1903-12,  55.8
1904-01,  59.1
1904-02,  62.7
1904-03,  66.1
1904-04,  68.5
1904-05,  69.1
1904-06,  69.3
1904-07,  71.5
1904-08,  77.4
1904-09,  83.0
1904-10,  84.1
1904-11,  84.4
1904-12,  85.5
1905-01,  87.6
1905-02,  89.1
1905-03,  90.9
1905-04,  94.4
1905-05, 100.9
1905-06, 105.7
1905-07, 105.1
1905-08, 100.7
1905-09,  97.5
1905-10,  99.1
1905-11, 100.9
1905-12, 102.6
1906-01, 105.7
1906-02, 107.1
1906-03, 106.4
1906-04, 102.2
1906-05,  93.2
1906-06,  89.1
1906-07,  91.9
1906-08,  99.4
1906-09, 104.5
1906-10, 104.0
1906-11, 102.8
1906-12, 100.2
1907-01,  94.9
1907-02,  91.6
1907-03,  94.0
1907-04,  99.4
1907-05, 104.2
1907-06, 104.6
1907-07, 100.8
1907-08,  93.1
1907-09,  85.7
1907-10,  83.8
1907-11,  84.0
1907-12,  84.4
1908-01,  84.3
1908-02,  86.1
1908-03,  88.7
1908-04,  86.6
1908-05,  83.1
1908-06,  81.5
1908-07,  82.2
1908-08,  84.3
1908-09,  87.8
1908-10,  88.6
